step,time_s,nav_mode,raw_ps0,raw_ps7,raw_ps1,raw_ps6,raw_ps2,raw_ps5,dist_raw_front_R,dist_raw_front_L,dist_raw_front_avg,dist_filtered_front_R,dist_filtered_front_L,dist_filtered_avg,dist_diag_R,dist_diag_L,dist_lat_R,dist_lat_L,encoder_left,encoder_right,delta_left,delta_right,delta_advance,kalman_prediction,kalman_estimate,kalman_gain,kalman_P,decision_distance,action,vel_left,vel_right
0,0.0,filtered,63.66,69.98,69.73,71.49,63.76,66.77,0.12,0.058829,0.089415,0.12,0.058829,0.089415,0.058917,0.058314,0.12,0.059963,0.0,0.0,0.0,0.0,0.0,0.12,0.090857,0.95283,0.00047642,0.089415,FORWARD_CURVE_R,2.77,2.78
1,0.064,filtered,67.79,67.07,68.71,69.97,71.73,70.24,0.059598,0.059856,0.059727,0.089799,0.059342,0.074571,0.059272,0.058835,0.058231,0.058742,0.1758,0.1758,0.17584,0.17584,0.003605,0.087253,0.080461,0.535495,0.00026775,0.074571,FORWARD_CURVE_R,2.78,2.79
2,0.128,filtered,69.65,65.05,66.6,65.8,62.72,69.75,0.058945,0.060588,0.059766,0.079514,0.059758,0.069636,0.060025,0.060313,0.12,0.058911,0.3517,0.358,0.17584,0.18212,0.003669,0.076792,0.073759,0.423796,0.0002119,0.069636,FORWARD_CURVE_R,2.81,2.8
3,0.192,filtered,62.82,70.81,67.04,68.08,64.97,63.39,0.12,0.058546,0.089273,0.089636,0.059455,0.074545,0.059865,0.059495,0.12,0.12,0.5338,0.5338,0.18212,0.17584,0.003669,0.07009,0.071802,0.384159,0.00019208,0.074545,FORWARD_CURVE_R,2.79,2.8
4,0.256,filtered,72.76,64.94,68.85,74.83,63.73,64.21,0.057884,0.12,0.088942,0.083285,0.071564,0.077425,0.059223,0.057199,0.12,0.12,0.7096,0.7159,0.17584,0.18212,0.003669,0.068133,0.071559,0.36875,0.00018438,0.077425,FORWARD_CURVE_R,2.74,2.78
5,0.32,filtered,66.84,59.89,60.78,71.1,57.4,69.27,0.059939,0.12,0.089969,0.071273,0.083798,0.077535,0.12,0.058446,0.12,0.059077,0.8855,0.8918,0.17584,0.17584,0.003605,0.067954,0.071428,0.36255,0.00018127,0.077535,FORWARD_CURVE_R,2.77,4.0
6,0.384,filtered,67.06,64.99,72.76,67.55,71.89,67.64,0.05986,0.12,0.08993,0.071325,0.095827,0.083576,0.057884,0.059683,0.058175,0.059651,1.0676,1.1492,0.18212,0.25748,0.004506,0.066922,0.072918,0.36002,0.00018001,0.083576,FORWARD_CURVE_R,2.79,2.76
7,0.448,filtered,71.16,72.53,66.83,64.85,67.13,54.67,0.058424,0.057959,0.058192,0.071221,0.095301,0.083261,0.059942,0.12,0.059835,0.12,1.2434,1.3251,0.17584,0.17584,0.003605,0.069313,0.07432,0.358983,0.00017949,0.083261,FORWARD_CURVE_L,4.0,2.8
8,0.512,filtered,70.14,68.79,69.07,71.6,61.35,64.64,0.058774,0.059246,0.05901,0.058976,0.095441,0.077209,0.059148,0.058275,0.12,0.12,1.5009,1.5009,0.25748,0.17584,0.004442,0.069879,0.072507,0.358556,0.00017928,0.077209,FORWARD_CURVE_R,2.77,2.78
9,0.576,filtered,63.28,63.75,63.42,68.15,74.12,70.78,0.12,0.12,0.12,0.071399,0.095441,0.08342,0.12,0.059472,0.057432,0.058554,1.6768,1.683,0.17584,0.18212,0.003669,0.068838,0.074064,0.35838,0.00017919,0.08342,FORWARD_CURVE_R,2.79,4.0
10,0.64,filtered,68.1,66.56,69.42,66.45,69.68,65.62,0.059489,0.060037,0.059763,0.07131,0.083448,0.077379,0.059025,0.060077,0.058935,0.060378,1.8526,1.9342,0.17584,0.2512,0.004377,0.069687,0.072443,0.358308,0.00017915,0.077379,FORWARD_CURVE_R,2.8,2.78
