step,time_s,nav_mode,raw_ps0,raw_ps7,raw_ps1,raw_ps6,raw_ps2,raw_ps5,dist_raw_front_R,dist_raw_front_L,dist_raw_front_avg,dist_filtered_front_R,dist_filtered_front_L,dist_filtered_avg,dist_diag_R,dist_diag_L,dist_lat_R,dist_lat_L,encoder_left,encoder_right,delta_left,delta_right,delta_advance,kalman_prediction,kalman_estimate,kalman_gain,kalman_P,decision_distance,action,vel_left,vel_right
0,0.0,raw,63.66,69.98,69.73,71.49,63.76,66.77,0.12,0.058829,0.089415,0.12,0.058829,0.089415,0.058917,0.058314,0.12,0.059963,0.0,0.0,0.0,0.0,0.0,0.12,0.090857,0.95283,0.00047642,0.089415,FORWARD_CURVE_R,2.77,2.78
1,0.064,raw,67.79,67.07,68.71,69.97,71.73,70.24,0.059598,0.059856,0.059727,0.089799,0.059342,0.074571,0.059272,0.058835,0.058231,0.058742,0.1758,0.1758,0.17584,0.17584,0.003605,0.087253,0.080461,0.535495,0.00026775,0.059727,TURN_LEFT,-1.8,1.8
2,0.128,raw,69.65,65.05,66.6,65.8,62.72,69.75,0.058945,0.060588,0.059766,0.079514,0.059758,0.069636,0.060025,0.060313,0.12,0.058911,0.0628,0.2952,-0.11304,0.11932,6.4e-05,0.080397,0.075837,0.423796,0.0002119,0.059766,TURN_LEFT,-1.8,1.8
3,0.192,raw,62.82,70.81,67.04,68.08,64.97,63.39,0.12,0.058546,0.089273,0.089636,0.059455,0.074545,0.059865,0.059495,0.12,0.12,-0.0502,0.4082,-0.11304,0.11304,0.0,0.075837,0.07534,0.384159,0.00019208,0.089273,TURN_LEFT,-1.8,1.8
4,0.256,raw,72.76,64.94,68.85,74.83,63.73,64.21,0.057884,0.12,0.088942,0.083285,0.071564,0.077425,0.059223,0.057199,0.12,0.12,-0.1633,0.5212,-0.11304,0.11304,0.0,0.07534,0.076109,0.36875,0.00018438,0.088942,TURN_LEFT,-1.8,1.8
5,0.32,raw,66.84,59.89,60.78,71.1,57.4,69.27,0.059939,0.12,0.089969,0.071273,0.083798,0.077535,0.12,0.058446,0.12,0.059077,-0.2763,0.6343,-0.11304,0.11304,-0.0,0.076109,0.076626,0.36255,0.00018127,0.089969,TURN_LEFT,-1.8,1.8
6,0.384,raw,67.06,64.99,72.76,67.55,71.89,67.64,0.05986,0.12,0.08993,0.071325,0.095827,0.083576,0.057884,0.059683,0.058175,0.059651,-0.3894,0.7536,-0.11304,0.11932,6.4e-05,0.076562,0.079087,0.36002,0.00018001,0.08993,TURN_LEFT,-1.8,1.8
7,0.448,raw,71.16,72.53,66.83,64.85,67.13,54.67,0.058424,0.057959,0.058192,0.071221,0.095301,0.083261,0.059942,0.12,0.059835,0.12,-0.5087,0.8666,-0.11932,0.11304,-6.4e-05,0.079151,0.080627,0.358983,0.00017949,0.058192,TURN_LEFT,-1.8,1.8
8,0.512,raw,70.14,68.79,69.07,71.6,61.35,64.64,0.058774,0.059246,0.05901,0.058976,0.095441,0.077209,0.059148,0.058275,0.12,0.12,-0.6217,0.9797,-0.11304,0.11304,0.0,0.080627,0.079401,0.358556,0.00017928,0.05901,TURN_LEFT,-1.8,1.8
9,0.576,raw,63.28,63.75,63.42,68.15,74.12,70.78,0.12,0.12,0.12,0.071399,0.095441,0.08342,0.12,0.059472,0.057432,0.058554,-0.7348,1.099,-0.11304,0.11932,6.4e-05,0.079337,0.0808,0.35838,0.00017919,0.12,TURN_LEFT,-1.8,1.8
10,0.64,raw,68.1,66.56,69.42,66.45,69.68,65.62,0.059489,0.060037,0.059763,0.07131,0.083448,0.077379,0.059025,0.060077,0.058935,0.060378,-0.8541,1.212,-0.11932,0.11304,-6.4e-05,0.080865,0.079616,0.358308,0.00017915,0.059763,TURN_LEFT,-1.8,1.8
11,0.704,raw,68.16,73.45,66.61,67.11,60.34,67.0,0.059469,0.057652,0.058561,0.071231,0.070979,0.071105,0.060021,0.05984,0.12,0.059882,-0.9671,1.3251,-0.11304,0.11304,0.0,0.079616,0.076567,0.358278,0.00017914,0.058561,TURN_LEFT,-1.8,1.8
12,0.768,raw,66.62,68.49,68.68,67.58,62.18,72.36,0.060017,0.059351,0.059684,0.07155,0.071257,0.071404,0.059284,0.059674,0.12,0.058019,-1.0802,1.4444,-0.11304,0.11932,6.4e-05,0.076502,0.074675,0.358266,0.00017913,0.059684,TURN_LEFT,-1.8,1.8
13,0.832,raw,69.81,69.76,65.17,70.73,66.02,70.97,0.05889,0.058906,0.058898,0.071573,0.071189,0.071381,0.060545,0.058571,0.060232,0.058491,-1.1995,1.5574,-0.11932,0.11304,-6.4e-05,0.07474,0.073537,0.358261,0.00017913,0.058898,TURN_LEFT,-1.8,1.8
14,0.896,raw,67.51,65.36,67.67,71.32,69.3,68.28,0.059698,0.060474,0.060086,0.059513,0.059284,0.059398,0.05964,0.05837,0.059068,0.059423,-1.3125,1.6705,-0.11304,0.11304,0.0,0.073537,0.068471,0.358259,0.00017913,0.060086,TURN_LEFT,-1.8,1.8
15,0.96,raw,72.06,63.58,73.66,67.63,67.12,62.73,0.058121,0.12,0.08906,0.059239,0.071276,0.065258,0.057585,0.059656,0.059836,0.12,-1.4256,1.7898,-0.11304,0.11932,6.4e-05,0.068407,0.067279,0.358258,0.00017913,0.08906,TURN_LEFT,-1.8,1.8
16,1.024,raw,61.21,67.35,66.11,70.84,69.33,69.81,0.12,0.059756,0.089878,0.071345,0.071697,0.071521,0.060202,0.058535,0.059055,0.058889,-1.5449,1.9028,-0.11932,0.11304,-6.4e-05,0.067343,0.06884,0.358258,0.00017913,0.089878,TURN_LEFT,-1.8,1.8
17,1.088,raw,62.1,67.01,67.03,67.9,63.98,69.31,0.12,0.059878,0.089939,0.083342,0.071803,0.077572,0.05987,0.059558,0.12,0.059064,-1.6579,2.0159,-0.11304,0.11304,0.0,0.06884,0.071968,0.358258,0.00017913,0.089939,TURN_LEFT,-1.8,1.8
18,1.152,raw,67.69,64.66,68.85,66.11,67.94,66.03,0.059635,0.12,0.089818,0.083491,0.084022,0.083756,0.059226,0.060202,0.059547,0.06023,-1.771,2.1352,-0.11304,0.11932,6.4e-05,0.071904,0.07615,0.358258,0.00017913,0.089818,TURN_LEFT,-1.8,1.8
19,1.216,raw,63.68,70.42,66.65,66.86,65.77,69.96,0.12,0.058679,0.08934,0.095551,0.083663,0.089607,0.060005,0.059931,0.060324,0.058838,-1.884,2.2482,-0.11304,0.11304,0.0,0.07615,0.080971,0.358258,0.00017913,0.08934,FORWARD_CURVE_R,2.8,2.8
20,1.28,raw,67.99,65.16,72.49,64.4,62.88,57.99,0.059529,0.060548,0.060038,0.095833,0.071772,0.083803,0.057974,0.12,0.12,0.12,-1.7082,2.4241,0.17584,0.17584,0.003605,0.077366,0.079672,0.358258,0.00017913,0.060038,FORWARD_CURVE_L,4.0,2.76
21,1.344,raw,67.52,68.81,63.62,65.9,68.0,66.48,0.059694,0.05924,0.059467,0.083772,0.071669,0.07772,0.12,0.060277,0.059523,0.060067,-1.457,2.5999,0.2512,0.17584,0.004377,0.075295,0.076164,0.358258,0.00017913,0.059467,TURN_LEFT,-1.8,1.8
22,1.408,raw,63.59,71.37,70.76,66.86,62.48,70.07,0.12,0.058353,0.089176,0.083772,0.071364,0.077568,0.05856,0.059932,0.12,0.058798,-1.57,2.7192,-0.11304,0.11932,6.4e-05,0.0761,0.076626,0.358258,0.00017913,0.089176,TURN_LEFT,-1.8,1.8
23,1.472,raw,70.3,59.78,68.11,63.19,72.25,63.79,0.058719,0.12,0.089359,0.083588,0.071364,0.077476,0.059485,0.12,0.058057,0.12,-1.683,2.8323,-0.11304,0.11304,-0.0,0.076626,0.07693,0.358258,0.00017913,0.089359,TURN_LEFT,-1.8,1.8
24,1.536,raw,61.14,67.01,71.63,71.64,66.47,64.54,0.12,0.059878,0.089939,0.083588,0.071604,0.077596,0.058266,0.058261,0.060072,0.12,-1.7961,2.9453,-0.11304,0.11304,0.0,0.07693,0.077169,0.358258,0.00017913,0.089939,TURN_LEFT,-1.8,1.8
25,1.6,raw,61.6,71.0,66.83,67.28,70.12,69.85,0.12,0.058479,0.08924,0.095683,0.07119,0.083436,0.059941,0.05978,0.058784,0.058876,-1.9154,3.0646,-0.11932,0.11932,-0.0,0.077169,0.079414,0.358258,0.00017913,0.08924,TURN_LEFT,-1.8,1.8
26,1.664,raw,71.0,64.19,66.98,64.52,69.05,68.79,0.058479,0.12,0.089239,0.09544,0.083342,0.089391,0.059889,0.12,0.059154,0.059247,-2.0284,3.1777,-0.11304,0.11304,0.0,0.079414,0.082988,0.358258,0.00017913,0.089239,TURN_LEFT,-1.8,1.8
27,1.728,raw,66.05,61.03,69.52,68.43,64.08,64.0,0.060223,0.12,0.090112,0.083484,0.095671,0.089578,0.05899,0.05937,0.12,0.12,-2.1415,3.2907,-0.11304,0.11304,-0.0,0.082988,0.085349,0.358258,0.00017913,0.090112,TURN_LEFT,-1.8,1.8
28,1.792,raw,68.19,77.66,62.74,72.37,64.71,69.33,0.059455,0.056287,0.057871,0.083631,0.082929,0.08328,0.12,0.058016,0.12,0.059056,-2.2608,3.4038,-0.11932,0.11304,-6.4e-05,0.085413,0.084649,0.358258,0.00017913,0.057871,TURN_LEFT,-1.8,1.8
29,1.856,raw,67.39,71.83,69.15,72.14,68.03,75.06,0.059741,0.058197,0.058969,0.07158,0.082593,0.077086,0.059121,0.058091,0.059513,0.057123,-2.3738,3.5231,-0.11304,0.11932,6.4e-05,0.084585,0.081898,0.358258,0.00017913,0.058969,TURN_LEFT,-1.8,1.8
30,1.92,raw,70.06,67.69,68.46,67.63,68.11,65.85,0.058803,0.059635,0.059219,0.05934,0.082824,0.071082,0.059361,0.059654,0.059486,0.060296,-2.4869,3.6361,-0.11304,0.11304,-0.0,0.081898,0.078023,0.358258,0.00017913,0.059219,TURN_LEFT,-1.8,1.8
